timestamp,temp.air.ambient.c,par.ambient.umol_m2_s,h2o.irga.ambient.mmol_mol,co2.irga.ambient.umol_mol
2021-03-25 00:07:46,8.112813,-3.282332,10.52955,406.0303
2021-03-25 00:07:48,8.074842,-3.647035,10.50227,405.4301
2021-03-25 00:07:50,8.120275,-4.011738,10.48863,405.8666
2021-03-25 00:07:52,8.099549,-4.011738,10.48863,405.6211
2021-03-25 00:07:54,8.081224,-3.647035,10.47499,405.2119
2021-03-25 00:07:56,8.110384,-3.647035,10.50227,405.8666
2021-03-25 00:07:58,8.077242,-3.282332,10.50227,405.4301
2021-03-25 00:08:00,8.081224,-3.282332,10.47499,404.5573
2021-03-25 00:08:02,8.099549,-3.647035,10.47499,405.5392
2021-03-25 00:08:04,8.094456,-2.917628,10.46135,405.321
2021-03-25 00:08:06,8.064011,-3.647035,10.46135,405.321
2021-03-25 00:08:08,8.081224,-4.011738,10.47499,405.7575
2021-03-25 00:08:10,8.089831,-4.376442,10.44771,405.2938
2021-03-25 00:08:12,8.10927,-4.011738,10.46135,404.7755
2021-03-25 00:08:14,8.105932,-4.011738,10.47499,405.3756
2021-03-25 00:08:16,8.107045,-3.647035,10.44771,405.321
2021-03-25 00:08:18,8.098438,-3.647035,10.44771,405.2665
2021-03-25 00:08:20,8.089831,-4.011738,10.46135,405.2119
2021-03-25 00:08:22,8.05429,-4.376442,10.46135,405.8666
2021-03-25 00:08:24,8.071505,-3.647035,10.47499,406.0303
2021-03-25 00:08:26,8.107045,-3.647035,10.46135,405.3756
2021-03-25 00:08:28,8.108156,-4.741146,10.46135,406.494
2021-03-25 00:08:30,8.088719,-4.011738,10.47499,406.685
2021-03-25 00:08:32,8.071505,-4.741146,10.47499,405.7575
2021-03-25 00:08:34,8.125369,-4.011738,10.46135,405.4301
2021-03-25 00:08:36,8.071505,-3.647035,10.47499,406.4667
2021-03-25 00:08:38,8.127597,-3.282332,10.47499,406.003
2021-03-25 00:08:40,8.105932,-3.647035,10.47499,406.2212
2021-03-25 00:08:42,8.090943,-4.011738,10.47499,406.3031
2021-03-25 00:08:44,8.080112,-2.917628,10.52955,404.9937
2021-03-25 00:08:46,8.098438,-3.647035,10.50227,405.6484
2021-03-25 00:08:48,8.097325,-3.282332,10.50227,405.8666
2021-03-25 00:08:50,8.089831,-3.647035,10.47499,405.9212
2021-03-25 00:08:52,8.070392,-3.647035,10.48863,405.8666
2021-03-25 00:08:54,8.080112,-3.647035,10.44771,404.7209
2021-03-25 00:08:56,8.07373,-3.647035,10.48863,405.4029
2021-03-25 00:08:58,8.116763,-4.011738,10.47499,405.2665
2021-03-25 00:09:00,8.107045,-4.011738,10.50227,405.5938
2021-03-25 00:09:02,8.089831,-4.011738,10.47499,405.5938
2021-03-25 00:09:04,8.098438,-4.011738,10.47499,404.7755
2021-03-25 00:09:06,8.071505,-4.376442,10.46135,405.9757
2021-03-25 00:09:08,8.099549,-4.011738,10.46135,405.4301
2021-03-25 00:09:10,8.062898,-4.011738,10.44771,405.5938
2021-03-25 00:09:12,8.105932,-3.647035,10.43407,405.7575
2021-03-25 00:09:14,8.089831,-3.647035,10.43407,404.9119
2021-03-25 00:09:16,8.081224,-3.647035,10.47499,405.9212
2021-03-25 00:09:18,8.04457,-4.376442,10.47499,405.4029
2021-03-25 00:09:20,8.087606,-4.011738,10.46135,406.2485
2021-03-25 00:09:22,8.072618,-4.376442,10.47499,405.2665
2021-03-25 00:09:24,8.073935,-4.011738,10.42043,406.6304
2021-03-25 00:09:26,8.080112,-3.647035,10.42043,405.6484
2021-03-25 00:09:28,8.098438,-4.376442,10.44771,406.3576
2021-03-25 00:09:30,8.105903,-3.282332,10.4475,405.4836
2021-03-25 00:09:32,8.080081,-3.282332,10.46113,405.1017
2021-03-25 00:09:34,8.114509,-3.647035,10.46113,406.1928
2021-03-25 00:09:36,8.115652,-3.647035,10.4475,405.6472
2021-03-25 00:09:38,8.064214,-3.282332,10.42022,406.2474
2021-03-25 00:09:40,8.091147,-3.647035,10.4475,405.8109
2021-03-25 00:09:42,8.076159,-3.282332,10.46113,405.7018
2021-03-25 00:09:44,8.089831,-4.376442,10.4475,405.1017
2021-03-25 00:09:46,8.045651,-3.647035,10.46113,405.3745
2021-03-25 00:09:48,8.054259,-4.376442,10.43386,405.6472
2021-03-25 00:09:50,8.089831,-3.647035,10.47477,405.92
2021-03-25 00:09:52,8.062867,-4.376442,10.4475,406.0837
2021-03-25 00:09:54,8.052066,-4.011738,10.4475,405.3745
2021-03-25 00:09:56,8.097296,-3.282332,10.4475,406.0291
2021-03-25 00:09:58,8.088689,-3.647035,10.4475,405.5927
2021-03-25 00:10:00,8.096183,-4.011738,10.46113,405.1563
2021-03-25 00:10:02,8.113396,-3.647035,10.48841,406.0837
2021-03-25 00:10:04,8.053147,-3.647035,10.4475,406.0564
2021-03-25 00:10:06,8.088689,-3.282332,10.4475,405.7836
2021-03-25 00:10:08,8.088689,-3.647035,10.48841,405.1563
2021-03-25 00:10:10,8.088689,-4.011738,10.47477,405.2654
2021-03-25 00:10:12,8.114509,-2.917628,10.50205,406.1655
2021-03-25 00:10:14,8.092261,-3.647035,10.4475,407.1748
2021-03-25 00:10:16,8.080317,-3.647035,10.47477,404.5561
2021-03-25 00:10:18,8.097296,-3.647035,10.46113,405.6472
2021-03-25 00:10:20,8.071474,-4.011738,10.4475,405.92
2021-03-25 00:10:22,8.05953,-4.376442,10.4475,405.3745
2021-03-25 00:10:24,8.087576,-4.376442,10.47477,405.3745
2021-03-25 00:10:26,8.09952,-3.647035,10.4475,406.5747
2021-03-25 00:10:28,8.090913,-4.376442,10.47477,405.8382
2021-03-25 00:10:30,8.113396,-4.011738,10.47477,404.7471
2021-03-25 00:10:32,8.098438,-3.282332,10.46113,405.9473
2021-03-25 00:10:34,8.083654,-4.011738,10.4475,405.4836
2021-03-25 00:10:36,8.070361,-3.647035,10.42022,406.111
2021-03-25 00:10:38,8.107045,-4.011738,10.43386,405.7018
2021-03-25 00:10:40,8.061754,-3.647035,10.4475,405.429
2021-03-25 00:10:42,8.087576,-4.011738,10.42022,406.3565
2021-03-25 00:10:44,8.068138,-4.376442,10.42022,405.0471
2021-03-25 00:10:46,8.096183,-4.011738,10.42022,405.0198
2021-03-25 00:10:48,8.096183,-4.011738,10.43386,405.0198
2021-03-25 00:10:50,8.123116,-4.011738,10.4475,405.0198
2021-03-25 00:10:52,8.137692,-3.647035,10.4475,405.5381
2021-03-25 00:10:54,8.096183,-3.647035,10.47477,405.8109
2021-03-25 00:10:56,8.087576,-3.282332,10.48841,404.9107
2021-03-25 00:10:58,8.082541,-3.647035,10.47477,406.1928
2021-03-25 00:11:00,8.087576,-3.282332,10.47477,404.6925
2021-03-25 00:11:02,8.076364,-3.647035,10.4475,404.7744
2021-03-25 00:11:04,8.061754,-3.647035,10.46113,405.9746
2021-03-25 00:11:06,8.090034,-3.647035,10.4475,405.129
2021-03-25 00:11:08,8.043458,-4.011738,10.40658,404.8835
2021-03-25 00:11:10,8.078969,-4.011738,10.4475,405.6472
2021-03-25 00:11:12,8.113396,-4.376442,10.4475,406.3565
2021-03-25 00:11:14,8.096183,-3.647035,10.42022,405.3745
2021-03-25 00:11:16,8.098438,-3.647035,10.46113,405.8109
2021-03-25 00:11:18,8.069281,-3.647035,10.4475,405.5927
2021-03-25 00:11:20,8.043458,-4.011738,10.46113,406.2201
2021-03-25 00:11:22,8.052033,-4.376472,10.46168,405.4319
2021-03-25 00:11:24,8.087574,-4.011766,10.4344,406.032
2021-03-25 00:11:26,8.06064,-4.011766,10.4344,405.541
2021-03-25 00:11:28,8.053146,-4.011766,10.42076,405.9229
2021-03-25 00:11:30,8.018714,-4.376472,10.44804,406.5776
2021-03-25 00:11:32,8.008993,-4.011766,10.42076,405.7047
2021-03-25 00:11:34,8.043426,-4.011766,10.46168,406.5776
2021-03-25 00:11:36,8.052033,-4.011766,10.46168,405.05
2021-03-25 00:11:38,8.061753,-4.011766,10.39348,405.2682
2021-03-25 00:11:40,8.078968,-3.64706,10.44804,406.5776
2021-03-25 00:11:42,8.043426,-3.64706,10.42076,406.0593
2021-03-25 00:11:44,8.06064,-3.64706,10.40712,405.4865
2021-03-25 00:11:46,8.07036,-4.011766,10.40712,405.0227
2021-03-25 00:11:48,8.06064,-4.011766,10.42076,404.3953
2021-03-25 00:11:50,8.069247,-4.011766,10.4344,405.6501
2021-03-25 00:11:52,8.052033,-3.64706,10.4344,405.1591
2021-03-25 00:11:54,8.043426,-3.64706,10.44804,405.7047
2021-03-25 00:11:56,8.08251,-3.64706,10.4344,406.1139
2021-03-25 00:11:58,8.052033,-3.64706,10.46168,405.6501
2021-03-25 00:12:00,8.041171,-5.47059,10.42076,405.2682
2021-03-25 00:12:02,8.07036,-1.82353,10.4344,405.8138
2021-03-25 00:12:04,8.118927,-1.458824,10.44804,405.8138
2021-03-25 00:12:06,8.099519,-1.458824,10.42076,405.4865
2021-03-25 00:12:08,8.117813,-1.094118,10.4344,405.541
2021-03-25 00:12:10,8.050891,-2.552942,10.44804,405.7047
2021-03-25 00:12:12,8.023955,-2.917648,10.4344,406.5776
2021-03-25 00:12:14,8.012044,-3.64706,10.42076,405.541
2021-03-25 00:12:16,8.042282,-2.917648,10.42076,406.1957
2021-03-25 00:12:18,8.032563,-2.552942,10.40712,405.4046
2021-03-25 00:12:20,8.07036,-3.64706,10.39348,405.7047
2021-03-25 00:12:22,8.048461,-2.917648,10.40712,404.8044
2021-03-25 00:12:24,8.069247,-3.64706,10.42076,406.6049
2021-03-25 00:12:26,8.041171,-3.282354,10.42076,406.0593
2021-03-25 00:12:28,8.042282,-3.64706,10.42076,405.2682
2021-03-25 00:12:30,8.033674,-3.64706,10.42076,406.2503
2021-03-25 00:12:32,8.033674,-3.64706,10.40712,406.7686
2021-03-25 00:12:34,8.015347,-3.282354,10.42076,405.7592
2021-03-25 00:12:36,8.033674,-4.376472,10.42076,405.541
2021-03-25 00:12:38,7.998131,-3.64706,10.42076,406.0866
2021-03-25 00:12:40,8.025067,-4.011766,10.42076,406.3867
2021-03-25 00:12:42,8.025067,-3.64706,10.42076,406.0866
2021-03-25 00:12:44,8.042282,-3.64706,10.42076,406.032
2021-03-25 00:12:46,8.033674,-3.64706,10.40712,406.5776
2021-03-25 00:12:48,8.033674,-3.64706,10.37984,406.905
2021-03-25 00:12:50,8.042282,-3.282354,10.3662,405.7047
2021-03-25 00:12:52,8.041171,-3.282354,10.39348,406.5776
2021-03-25 00:12:54,8.042282,-4.011766,10.37984,405.2682
2021-03-25 00:12:56,8.050891,-4.011766,10.37984,406.9595
2021-03-25 00:12:58,8.068106,-4.011766,10.39348,405.4592
2021-03-25 00:13:00,8.06064,-4.011766,10.42076,406.3594
2021-03-25 00:13:02,8.050891,-4.011766,10.42076,405.8138
2021-03-25 00:13:04,8.041171,-3.64706,10.42076,405.3228
2021-03-25 00:13:06,8.068106,-4.376472,10.42076,405.7592
2021-03-25 00:13:08,8.06064,-4.011766,10.42076,406.032
2021-03-25 00:13:10,8.042282,-3.64706,10.40712,406.5231
2021-03-25 00:13:12,8.014267,-3.64706,10.40712,406.2503
2021-03-25 00:13:14,8.058353,-4.011782,10.42119,405.6524
2021-03-25 00:13:16,8.049745,-4.011782,10.43483,406.2526
2021-03-25 00:13:18,8.040027,-4.011782,10.39391,405.8161
2021-03-25 00:13:20,8.031418,-4.011782,10.42119,405.1068
