timestamp,RECORD,batt_volt,PTemp,TcRafat(1),TcRafat(2),TcRafat(3),TcRafat(4),TcRafat(5),TcRafat(6)
2020-08-15 20:49:22,92275,12.51526,30.87922,20.21334,21.2471,21.65676,21.55086,24.60061,26.89124
2020-08-15 20:49:24,92276,12.50416,30.87922,20.25386,21.36308,21.71025,21.53246,24.59794,26.88659
2020-08-15 20:49:26,92277,12.53749,30.87922,20.38999,21.44546,21.77574,21.52253,24.62295,26.92961
2020-08-15 20:49:28,92278,12.53193,30.87922,20.4389,21.55086,21.76735,21.53246,24.56573,26.89528
2020-08-15 20:49:30,92279,12.50971,30.87922,20.45572,21.46695,21.69871,21.5477,24.65378,26.88965
2020-08-15 20:49:32,92280,12.53749,30.87922,20.46413,21.35314,21.65831,21.53931,24.61883,26.87982
2020-08-15 20:49:34,92281,12.51526,30.87922,20.48936,21.41498,21.70709,21.49312,24.71053,26.87982
2020-08-15 20:49:36,92282,12.54304,30.87922,20.57499,21.48782,21.69186,21.54086,24.65218,26.92131
2020-08-15 20:49:38,92283,12.53749,30.87922,20.57344,21.49312,21.7338,21.56448,24.63396,26.94621
2020-08-15 21:15:18,93053,12.51521,30.26018,21.00795,21.17438,21.17995,20.99115,23.97935,26.91429
2020-08-15 21:15:20,93054,12.52632,30.26018,20.87605,21.12957,21.16316,20.96288,23.87209,26.84181
2020-08-15 21:15:22,93055,12.5041,30.26018,20.75995,20.97839,21.17309,21.00206,23.88137,26.8313
2020-08-15 21:15:24,93056,12.49854,30.26018,20.68277,21.03409,21.05399,21.00206,23.84953,26.79504
2020-08-15 21:15:26,93057,12.53743,30.26018,20.56352,21.04095,20.97529,20.96749,23.8548,26.7926
2020-08-15 21:15:28,93058,12.51521,30.26018,20.51464,20.87295,20.94326,20.96006,23.84797,26.82824
2020-08-15 21:15:30,93059,12.50965,30.26018,20.63918,20.72016,20.86608,20.88194,23.94137,26.87128
2020-08-15 21:15:32,93060,12.53187,30.26018,20.74004,20.98216,20.81567,20.88288,23.96486,26.81994
2020-08-15 21:15:34,93061,12.52076,30.26018,20.77365,21.15166,20.80726,20.84928,23.95406,26.79504
2020-08-15 21:15:36,93062,12.52076,30.26018,20.83247,21.15448,20.86765,20.85084,23.96486,26.90293
2020-08-15 21:15:38,93063,12.53187,30.26018,20.71329,21.18371,20.94075,20.84088,24.00816,26.81843
2020-08-15 21:15:40,93064,12.49854,30.26018,20.63918,21.05775,20.95009,20.87295,24.0332,26.85162
2020-08-15 21:15:42,93065,12.50965,30.26018,20.55358,21.08448,20.97968,20.83934,23.98991,26.86298
2020-08-15 21:15:44,93066,12.5041,30.26018,20.52989,21.03008,20.95448,20.88288,24.04834,26.85468
2020-08-15 21:15:46,93067,12.49299,30.26018,20.47791,20.98369,21.01482,20.84774,24.05142,26.84484
2020-08-15 21:15:48,93068,12.50965,30.22403,20.44487,20.91496,21.05775,20.87448,24.05977,26.81164
2020-08-15 21:15:50,93069,12.53168,30.26018,20.40393,20.91948,21.04952,20.86625,24.01511,26.81762
2020-08-15 21:15:52,93070,12.52057,30.22403,20.32824,20.77915,21.03021,20.82483,23.95362,26.7703
2020-08-15 21:15:54,93071,12.45391,30.22403,20.38711,20.91199,21.08311,20.84104,23.93069,26.80047
2020-08-15 21:15:56,93072,12.50946,30.26018,20.52012,21.29148,21.06631,20.76075,23.91926,26.79368
2020-08-15 21:15:58,93073,12.69277,30.22403,20.95026,21.24791,21.07318,20.79903,23.93163,26.94457
2020-08-15 21:16:00,93074,12.47057,30.26018,21.1167,21.20067,21.05478,20.76388,23.92699,26.90308
2020-08-15 21:16:02,93075,12.48168,30.22403,21.15869,21.20374,21.01592,20.79749,23.95515,26.85329
2020-08-15 21:16:04,93076,12.50946,30.22403,21.32719,21.24111,21.01592,20.74707,24.00524,26.93324
2020-08-15 21:16:06,93077,12.5039,30.22403,21.40213,21.49444,21.07471,20.78756,23.97185,26.93476
2020-08-15 21:16:08,93078,12.50946,30.22403,21.45248,21.35024,21.14876,20.82117,23.961,26.82536
2020-08-15 21:16:10,93079,12.52612,30.22403,21.45248,21.14625,21.21593,20.77075,23.95515,26.85856
2020-08-15 21:16:12,93080,12.53168,30.22403,21.37695,20.94719,21.22432,20.81026,23.91188,26.87516
2020-08-15 21:16:14,93081,12.52057,30.22403,21.31667,21.05945,21.25104,20.78596,23.91493,26.95965
2020-08-15 21:16:16,93082,12.54278,30.22403,21.4006,21.39374,21.26686,20.86471,23.86331,26.80047
2020-08-15 21:36:08,93678,12.52548,29.68407,19.12387,20.0895,21.98075,21.45389,23.51385,26.81011
2020-08-15 21:36:10,93679,12.51437,29.68407,19.09705,20.04362,22.10799,21.62169,23.55411,26.81766
2020-08-15 21:36:12,93680,12.50882,29.68407,19.09015,20.04053,22.17351,21.72082,23.61259,26.77616
2020-08-15 21:36:14,93681,12.50326,29.68407,19.03112,20.08261,22.24054,21.7475,23.57918,26.77691
2020-08-15 21:36:16,93682,12.49215,29.68407,19.01272,20.13463,22.19713,21.74598,23.58602,26.77842
2020-08-15 21:36:18,93683,12.51437,29.65018,18.97208,20.13157,22.10647,21.69414,23.70373,26.79577
2020-08-15 21:36:20,93684,12.50326,29.68407,18.95368,20.22412,21.94345,21.66211,23.706,26.82298
2020-08-15 21:36:22,93685,12.52032,29.68407,18.97187,20.29962,21.81286,21.65503,23.68757,26.87478
2020-08-15 21:36:24,93686,12.50366,29.68407,18.91283,20.20709,21.75416,21.61309,23.61922,26.8197
2020-08-15 21:36:26,93687,12.50366,29.65018,18.86069,20.2675,21.71374,21.57953,23.63896,26.84614
2020-08-15 21:36:28,93688,12.50921,29.65018,18.85225,20.22391,21.60318,21.52767,23.74604,26.81594
2020-08-15 21:36:30,93689,12.50366,29.65018,18.84843,20.2468,21.54445,21.46894,23.76274,26.74876
2020-08-15 21:36:32,93690,12.50921,29.65018,18.78166,20.15661,21.46741,21.44376,23.82804,26.8182
2020-08-15 21:36:34,93691,12.51477,29.65018,18.82003,20.31645,21.45975,21.40028,23.75439,26.8348
2020-08-15 21:36:36,93692,12.50921,29.65018,18.86759,20.37532,21.38502,21.33466,23.68605,26.75859
2020-08-15 21:36:38,93693,12.50366,29.65018,18.89443,20.27204,21.30491,21.32474,23.73462,26.75627
2020-08-15 21:36:40,93694,12.48144,29.65018,18.84381,20.19868,21.26598,21.25224,23.72933,26.79934
2020-08-15 21:36:42,93695,12.51477,29.65018,18.80697,20.2461,21.17363,21.19042,23.66251,26.76388
2020-08-15 21:36:44,93696,12.52588,29.65018,18.76252,20.32486,21.15684,21.20034,23.75889,26.8001
2020-08-15 21:36:46,93697,12.52032,29.65018,18.79472,20.25601,21.1049,21.15684,23.68451,26.74046
2020-08-15 21:36:48,93698,12.51477,29.65018,18.7326,20.29962,21.07438,21.09805,23.65945,26.72386
