timestamp,Tc(1),Tc(2),Tc(3),Tc(4),Tc(5),Tc(6)
2022-01-11 11:11:00,14.78782,14.78766,14.37886,14.19038,,20.97761
2022-01-11 11:12:00,14.80636,14.82325,14.22853,14.07905,,20.98469
2022-01-11 11:13:00,14.83593,14.83198,14.64624,14.35462,,20.98266
2022-01-11 11:14:00,14.86296,14.88098,14.45494,14.36808,,21.00215
2022-01-11 11:15:00,14.68055,14.81698,14.48007,14.24092,,20.9813
2022-01-11 11:16:00,14.8746,14.90866,14.85421,14.60914,,20.9855
2022-01-11 11:17:00,15.31767,15.32724,15.17792,14.91477,,20.96316
2022-01-11 11:18:00,15.52857,15.5311,15.14276,15.00408,,20.9594
2022-01-11 11:19:00,15.23508,15.36526,14.51718,14.46526,,20.96828
2022-01-11 11:20:00,14.45014,14.64417,14.4904,14.3223,,20.97008
2022-01-11 11:21:00,14.39596,14.47989,14.78665,14.64123,,20.97018
2022-01-11 11:22:00,14.31535,14.37422,14.32402,14.20199,,20.96266
2022-01-11 11:23:00,14.20878,14.26494,14.38433,14.17858,,20.9778
2022-01-11 11:24:00,14.16697,14.24244,14.45465,14.17467,,20.98191
2022-01-11 11:25:00,14.30576,14.43264,14.66935,14.43061,,20.95981
2022-01-11 11:26:00,14.58508,14.59179,14.6845,14.488,,20.97615
2022-01-11 11:27:00,14.85558,14.91191,15.07207,15.0011,,20.99633
2022-01-11 11:28:00,14.50829,14.63833,15.15807,15.15952,,20.97349
2022-01-11 11:29:00,14.29932,14.35396,15.23198,15.19534,,20.99895
2022-01-11 11:30:00,14.43613,14.56184,15.20489,15.20724,,20.95903
2022-01-11 11:31:00,14.14022,14.27536,15.2352,15.22812,,20.96128
2022-01-11 11:32:00,14.29527,14.35638,15.26461,15.23845,,20.96668
2022-01-11 11:33:00,14.51003,14.59645,15.28166,15.27263,,20.9886
2022-01-11 11:34:00,14.47848,14.59914,15.29167,15.29107,,20.99322
2022-01-11 11:35:00,14.83429,14.85656,15.19754,15.10937,,21.02335
2022-01-11 11:36:00,14.9547,15.03724,14.83161,14.71887,,21.00632
2022-01-11 11:37:00,14.77531,14.82048,14.75836,14.62393,,21.00207
